idserie, size, t, d, ans, ends,  Mixed , RMQH with RMQBucket, RMQH with RMQSt, RangeList with RMQBucket
14, 222375, 21.00, 0.20, 4657, 1505 , 4.09  , 22.05  , 17.96  , 0.79  
14, 222375, 21.00, 0.60, 8, 3 , 0.53  , 22.06  , 17.73  , 0.00  
14, 222375, 23.00, 0.70, 0, 0 , 0.53  , 21.58  , 17.67  , 0.00  
14, 222375, 25.00, 0.20, 4775, 1416 , 4.14  , 23.48  , 17.87  , 0.78  
14, 222375, 25.00, 0.90, 0, 0 , 0.53  , 23.52  , 17.62  , 0.00  
14, 222375, 27.00, 1.10, 0, 0 , 0.53  , 27.01  , 17.59  , 0.00  
14, 222375, 29.00, 0.20, 4569, 1233 , 3.96  , 29.61  , 17.83  , 0.73  
14, 222375, 29.00, 1.30, 0, 0 , 0.53  , 29.60  , 17.58  , 0.00  
14, 222375, 31.00, 1.50, 0, 0 , 0.53  , 31.65  , 7.02  , 0.00  
14, 222375, 33.00, 0.20, 4140, 1025 , 3.58  , 31.92  , 17.81  , 0.65  
14, 222375, 37.00, 0.20, 3525, 829 , 3.15  , 26.73  , 17.70  , 0.51  
14, 222375, 41.00, 0.30, 3037, 675 , 2.71  , 23.28  , 17.65  , 0.45  
14, 222375, 45.00, 0.30, 2534, 537 , 2.25  , 29.39  , 17.61  , 0.36  
14, 222375, 49.00, 0.30, 2184, 428 , 1.94  , 33.53  , 17.58  , 0.31  
14, 222375, 53.00, 0.30, 1635, 323 , 1.49  , 33.05  , 17.58  , 0.23  
14, 222375, 57.00, 0.40, 1313, 246 , 1.21  , 33.47  , 17.56  , 0.18  
14, 222375, 61.00, 0.40, 926, 178 , 0.97  , 32.95  , 17.55  , 0.12  
15, 222375, 3.00, 0.10, 2976, 2321 , 2.82  , 6.49  , 7.04  , 0.67  
15, 222375, 5.00, 0.10, 4235, 2742 , 3.72  , 8.31  , 18.60  , 1.06  
15, 222375, 5.00, 0.10, 7924, 5285 , 5.77  , 8.88  , 18.76  , 2.20  
15, 222375, 7.00, 0.20, 4328, 2416 , 3.87  , 8.57  , 7.02  , 0.91  
15, 222375, 9.00, 0.10, 14791, 7744 , 9.43  , 11.29  , 18.45  , 3.55  
15, 222375, 9.00, 0.20, 4051, 2006 , 3.72  , 10.94  , 18.19  , 0.79  
15, 222375, 11.00, 0.20, 3620, 1546 , 3.41  , 16.00  , 18.01  , 0.67  
15, 222375, 13.00, 0.10, 19637, 8764 , 11.99  , 19.74  , 18.21  , 4.88  
15, 222375, 13.00, 0.30, 3144, 1186 , 3.04  , 19.38  , 17.88  , 0.54  
15, 222375, 15.00, 0.40, 2526, 882 , 2.60  , 20.33  , 6.99  , 0.38  
15, 222375, 17.00, 0.10, 22354, 8836 , 13.47  , 22.74  , 18.30  , 4.76  
15, 222375, 17.00, 0.40, 1962, 643 , 2.11  , 22.61  , 17.92  , 0.29  
15, 222375, 19.00, 0.50, 1259, 405 , 1.38  , 22.41  , 17.80  , 0.19  
15, 222375, 21.00, 0.20, 23441, 8441 , 14.11  , 22.31  , 18.12  , 5.03  
15, 222375, 21.00, 0.60, 801, 238 , 0.98  , 22.16  , 17.71  , 0.12  
15, 222375, 23.00, 0.70, 476, 131 , 0.77  , 21.72  , 17.66  , 0.07  
15, 222375, 25.00, 0.20, 24232, 8019 , 14.55  , 23.70  , 18.04  , 4.90  
15, 222375, 25.00, 0.90, 251, 64 , 0.64  , 23.53  , 17.62  , 0.03  
15, 222375, 27.00, 1.10, 87, 21 , 0.56  , 27.10  , 17.59  , 0.01  
15, 222375, 29.00, 0.20, 24223, 7380 , 14.53  , 29.84  , 17.99  , 4.85  
15, 222375, 29.00, 1.30, 31, 7 , 0.54  , 29.67  , 17.57  , 0.01  
15, 222375, 31.00, 1.50, 33, 6 , 0.54  , 31.73  , 7.03  , 0.01  
15, 222375, 33.00, 0.20, 23062, 6517 , 14.05  , 32.12  , 17.94  , 4.66  
15, 222375, 37.00, 0.20, 21567, 5726 , 13.24  , 26.93  , 17.81  , 3.95  
15, 222375, 41.00, 0.30, 20417, 5104 , 12.72  , 23.43  , 17.76  , 3.79  
15, 222375, 45.00, 0.30, 18406, 4391 , 11.82  , 29.58  , 17.71  , 3.33  
15, 222375, 49.00, 0.30, 17102, 3889 , 11.05  , 34.00  , 17.69  , 3.16  
15, 222375, 53.00, 0.30, 15379, 3253 , 10.11  , 33.47  , 17.65  , 2.71  
15, 222375, 57.00, 0.40, 13971, 2835 , 9.39  , 33.78  , 17.62  , 2.35  
15, 222375, 61.00, 0.40, 12179, 2350 , 8.42  , 33.11  , 17.61  , 1.96  
16, 222375, 3.00, 0.10, 2544, 1885 , 2.49  , 6.49  , 7.06  , 0.55  
16, 222375, 5.00, 0.10, 3591, 2226 , 3.27  , 8.30  , 18.53  , 0.76  
16, 222375, 5.00, 0.10, 6710, 4249 , 5.05  , 8.86  , 18.68  , 1.63  
16, 222375, 7.00, 0.20, 3653, 1911 , 3.36  , 8.55  , 7.04  , 0.72  
16, 222375, 9.00, 0.10, 12057, 5950 , 8.06  , 11.25  , 18.33  , 2.91  
16, 222375, 9.00, 0.20, 3475, 1549 , 3.24  , 10.92  , 18.14  , 0.74  
16, 222375, 11.00, 0.20, 3080, 1250 , 3.01  , 15.97  , 17.99  , 0.57  
16, 222375, 13.00, 0.10, 16285, 6725 , 10.36  , 19.61  , 18.16  , 3.30  
16, 222375, 13.00, 0.30, 2631, 919 , 2.63  , 19.44  , 17.88  , 0.40  
16, 222375, 15.00, 0.40, 2087, 668 , 2.24  , 20.16  , 7.01  , 0.31  
16, 222375, 17.00, 0.10, 18259, 6624 , 11.46  , 22.57  , 18.20  , 3.84  
16, 222375, 17.00, 0.40, 1573, 514 , 1.76  , 22.45  , 17.87  , 0.24  
16, 222375, 19.00, 0.50, 1049, 336 , 1.31  , 22.25  , 17.77  , 0.16  
16, 222375, 21.00, 0.20, 19258, 6237 , 11.91  , 22.08  , 18.04  , 3.86  
16, 222375, 21.00, 0.60, 611, 192 , 0.97  , 21.97  , 17.70  , 0.10  
16, 222375, 23.00, 0.70, 379, 111 , 0.78  , 21.48  , 17.66  , 0.05  
16, 222375, 25.00, 0.20, 20194, 5984 , 12.44  , 23.50  , 17.97  , 4.02  
16, 222375, 25.00, 0.90, 200, 45 , 0.65  , 23.39  , 17.61  , 0.03  
16, 222375, 27.00, 1.10, 119, 32 , 0.61  , 26.91  , 17.57  , 0.02  
16, 222375, 29.00, 0.20, 20436, 5597 , 12.58  , 29.63  , 17.93  , 3.63  
16, 222375, 29.00, 1.30, 78, 15 , 0.57  , 29.48  , 17.55  , 0.01  
16, 222375, 31.00, 1.50, 38, 9 , 0.54  , 31.51  , 7.02  , 0.01  
16, 222375, 33.00, 0.20, 19723, 5031 , 12.24  , 31.95  , 17.86  , 3.55  
16, 222375, 37.00, 0.20, 18385, 4415 , 11.53  , 26.73  , 17.76  , 3.26  
16, 222375, 41.00, 0.30, 17530, 3975 , 11.18  , 23.27  , 17.72  , 3.15  
16, 222375, 45.00, 0.30, 15831, 3403 , 10.29  , 29.37  , 17.69  , 2.59  
16, 222375, 49.00, 0.30, 14769, 3060 , 9.77  , 33.58  , 17.66  , 2.44  
16, 222375, 53.00, 0.30, 13353, 2619 , 8.94  , 33.04  , 17.63  , 2.13  
16, 222375, 57.00, 0.40, 12408, 2345 , 8.44  , 33.45  , 17.61  , 1.96  
16, 222375, 61.00, 0.40, 10814, 1994 , 7.59  , 32.94  , 17.61  , 1.68  
17, 222375, 3.00, 0.10, 2741, 2067 , 2.55  , 6.47  , 7.03  , 0.58  
17, 222375, 5.00, 0.10, 3680, 2360 , 3.24  , 8.29  , 18.58  , 0.83  
17, 222375, 5.00, 0.10, 6901, 4429 , 5.07  , 8.85  , 18.75  , 1.79  
17, 222375, 7.00, 0.20, 3702, 2035 , 3.26  , 8.56  , 7.02  , 0.70  
17, 222375, 9.00, 0.10, 12066, 6000 , 7.87  , 11.24  , 18.40  , 2.64  
17, 222375, 9.00, 0.20, 3311, 1658 , 3.07  , 10.92  , 18.16  , 0.60  
17, 222375, 11.00, 0.20, 2798, 1247 , 2.70  , 15.91  , 18.01  , 0.51  
17, 222375, 13.00, 0.10, 16186, 6765 , 10.06  , 19.63  , 18.20  , 3.30  
17, 222375, 13.00, 0.30, 2276, 927 , 2.27  , 19.33  , 17.88  , 0.37  
17, 222375, 15.00, 0.40, 1796, 704 , 1.86  , 20.20  , 6.99  , 0.31  
17, 222375, 17.00, 0.10, 17903, 6553 , 11.09  , 22.60  , 18.24  , 3.82  
17, 222375, 17.00, 0.40, 1353, 504 , 1.46  , 22.52  , 17.90  , 0.23  
17, 222375, 19.00, 0.50, 865, 303 , 1.06  , 22.29  , 17.80  , 0.13  
17, 222375, 21.00, 0.20, 18735, 6214 , 11.63  , 22.13  , 18.07  , 3.84  
17, 222375, 21.00, 0.60, 584, 196 , 0.89  , 22.03  , 17.71  , 0.09  
17, 222375, 23.00, 0.70, 357, 108 , 0.74  , 21.56  , 17.65  , 0.05  
17, 222375, 25.00, 0.20, 19455, 5960 , 12.04  , 23.56  , 17.98  , 4.01  
17, 222375, 25.00, 0.90, 273, 72 , 0.69  , 23.47  , 17.61  , 0.04  
17, 222375, 27.00, 1.10, 226, 49 , 0.65  , 26.97  , 17.59  , 0.03  
17, 222375, 29.00, 0.20, 19552, 5624 , 12.22  , 29.67  , 17.94  , 3.48  
17, 222375, 29.00, 1.30, 148, 29 , 0.63  , 29.54  , 17.57  , 0.02  
17, 222375, 31.00, 1.50, 89, 17 , 0.58  , 31.58  , 7.02  , 0.01  
17, 222375, 33.00, 0.20, 18545, 5068 , 11.93  , 32.01  , 17.89  , 3.46  
17, 222375, 37.00, 0.20, 16859, 4401 , 11.13  , 26.77  , 17.78  , 3.13  
17, 222375, 41.00, 0.30, 16102, 4012 , 10.77  , 23.31  , 17.71  , 2.80  
17, 222375, 45.00, 0.30, 14296, 3371 , 9.87  , 29.42  , 17.69  , 2.46  
17, 222375, 49.00, 0.30, 13291, 2979 , 9.32  , 33.56  , 17.65  , 2.23  
17, 222375, 53.00, 0.30, 11684, 2508 , 8.43  , 33.06  , 17.63  , 1.96  
17, 222375, 57.00, 0.40, 10676, 2215 , 7.86  , 33.48  , 17.62  , 1.82  
17, 222375, 61.00, 0.40, 9234, 1852 , 7.01  , 32.97  , 17.59  , 1.40  
18, 219750, 3.00, 0.10, 3247, 2358 , 2.94  , 6.42  , 6.96  , 0.73  
18, 219750, 5.00, 0.10, 4427, 2670 , 3.75  , 8.22  , 18.34  , 0.94  
18, 219750, 5.00, 0.10, 7803, 4707 , 5.63  , 8.76  , 18.49  , 1.84  
18, 219750, 7.00, 0.20, 4534, 2345 , 3.90  , 8.47  , 6.94  , 0.91  
18, 219750, 9.00, 0.10, 13382, 6200 , 8.64  , 11.13  , 18.15  , 3.03  
18, 219750, 9.00, 0.20, 4284, 1907 , 3.68  , 10.82  , 17.93  , 0.82  
18, 219750, 11.00, 0.20, 3789, 1482 , 3.38  , 15.73  , 17.79  , 0.58  
18, 219750, 13.00, 0.10, 17977, 6957 , 11.04  , 19.34  , 17.96  , 3.64  
18, 219750, 13.00, 0.30, 3043, 1100 , 2.88  , 19.14  , 17.67  , 0.48  
18, 219750, 15.00, 0.40, 2344, 750 , 2.34  , 19.85  , 6.91  , 0.36  
18, 219750, 17.00, 0.10, 20034, 6813 , 12.17  , 22.23  , 18.00  , 4.07  
18, 219750, 17.00, 0.40, 1699, 490 , 1.72  , 22.15  , 17.66  , 0.25  
18, 219750, 19.00, 0.50, 1110, 292 , 1.15  , 21.90  , 17.60  , 0.16  
18, 219750, 21.00, 0.20, 21340, 6552 , 12.93  , 21.75  , 17.85  , 4.07  
18, 219750, 21.00, 0.60, 716, 160 , 0.89  , 21.65  , 17.49  , 0.09  
18, 219750, 23.00, 0.70, 443, 104 , 0.72  , 21.15  , 17.43  , 0.06  
18, 219750, 25.00, 0.20, 22150, 6223 , 13.41  , 23.21  , 17.77  , 4.25  
18, 219750, 25.00, 0.90, 261, 62 , 0.62  , 23.10  , 17.40  , 0.03  
18, 219750, 27.00, 1.10, 147, 31 , 0.57  , 26.54  , 17.37  , 0.02  
18, 219750, 29.00, 0.20, 22799, 5925 , 13.69  , 29.20  , 17.74  , 4.24  
18, 219750, 29.00, 1.30, 67, 14 , 0.55  , 29.06  , 17.35  , 0.01  
18, 219750, 31.00, 1.50, 32, 12 , 0.54  , 31.11  , 6.94  , 0.01  
18, 219750, 33.00, 0.20, 22220, 5364 , 13.44  , 31.55  , 17.68  , 4.13  
18, 219750, 37.00, 0.20, 21025, 4759 , 12.75  , 26.33  , 17.57  , 3.32  
18, 219750, 41.00, 0.30, 20493, 4360 , 12.46  , 22.97  , 17.51  , 3.25  
18, 219750, 45.00, 0.30, 18601, 3782 , 11.44  , 28.95  , 17.49  , 3.00  
18, 219750, 49.00, 0.30, 17510, 3424 , 10.85  , 33.11  , 17.46  , 2.76  
18, 219750, 53.00, 0.30, 15548, 2902 , 9.83  , 32.56  , 17.42  , 2.39  
18, 219750, 57.00, 0.40, 13955, 2519 , 9.10  , 33.03  , 17.40  , 2.16  
18, 219750, 61.00, 0.40, 12035, 2109 , 8.09  , 32.47  , 17.38  , 1.71  
19, 222375, 3.00, 0.10, 390, 213 , 0.74  , 6.40  , 6.98  , 0.06  
19, 222375, 5.00, 0.10, 482, 201 , 0.82  , 8.23  , 17.92  , 0.07  
19, 222375, 5.00, 0.10, 831, 350 , 1.01  , 8.74  , 18.04  , 0.12  
19, 222375, 7.00, 0.20, 444, 155 , 0.78  , 8.51  , 6.97  , 0.06  
19, 222375, 9.00, 0.10, 1362, 451 , 1.52  , 11.08  , 17.83  , 0.19  
19, 222375, 9.00, 0.20, 358, 105 , 0.73  , 10.87  , 17.72  , 0.04  
19, 222375, 11.00, 0.20, 219, 61 , 0.66  , 15.60  , 17.71  , 0.03  
19, 222375, 13.00, 0.10, 1867, 512 , 1.96  , 18.71  , 17.80  , 0.26  
19, 222375, 13.00, 0.30, 127, 33 , 0.62  , 18.48  , 17.66  , 0.02  
19, 222375, 15.00, 0.40, 82, 23 , 0.59  , 18.65  , 6.97  , 0.01  
19, 222375, 17.00, 0.10, 2117, 500 , 2.25  , 21.13  , 17.80  , 0.27  
19, 222375, 17.00, 0.40, 62, 11 , 0.57  , 21.16  , 17.62  , 0.01  
19, 222375, 19.00, 0.50, 20, 4 , 0.55  , 20.71  , 17.62  , 0.00  
19, 222375, 21.00, 0.20, 2175, 462 , 2.30  , 20.32  , 17.76  , 0.29  
19, 222375, 21.00, 0.60, 21, 3 , 0.55  , 20.31  , 17.58  , 0.00  
19, 222375, 23.00, 0.70, 22, 2 , 0.55  , 19.68  , 17.55  , 0.00  
19, 222375, 25.00, 0.20, 2210, 416 , 2.28  , 22.12  , 17.72  , 0.28  
19, 222375, 25.00, 0.90, 0, 0 , 0.53  , 22.13  , 17.52  , 0.00  
19, 222375, 27.00, 1.10, 0, 0 , 0.53  , 25.47  , 17.51  , 0.00  
19, 222375, 29.00, 0.20, 2058, 361 , 2.16  , 27.96  , 17.70  , 0.27  
19, 222375, 29.00, 1.30, 0, 0 , 0.53  , 27.87  , 17.50  , 0.00  
19, 222375, 31.00, 1.50, 0, 0 , 0.53  , 29.78  , 7.02  , 0.00  
19, 222375, 33.00, 0.20, 1854, 285 , 1.97  , 30.72  , 17.60  , 0.24  
19, 222375, 37.00, 0.20, 1511, 225 , 1.61  , 25.09  , 17.58  , 0.20  
19, 222375, 41.00, 0.30, 1352, 180 , 1.50  , 22.00  , 17.55  , 0.18  
19, 222375, 45.00, 0.30, 960, 128 , 1.17  , 27.82  , 17.54  , 0.13  
19, 222375, 49.00, 0.30, 722, 99 , 0.99  , 32.36  , 17.52  , 0.10  
19, 222375, 53.00, 0.30, 468, 68 , 0.84  , 31.49  , 17.50  , 0.06  
19, 222375, 57.00, 0.40, 384, 45 , 0.77  , 32.34  , 17.50  , 0.05  
19, 222375, 61.00, 0.40, 305, 30 , 0.69  , 31.43  , 17.49  , 0.04  
20, 222375, 3.00, 0.10, 695, 458 , 0.94  , 6.47  , 6.99  , 0.13  
20, 222375, 5.00, 0.10, 974, 520 , 1.16  , 8.24  , 18.44  , 0.17  
20, 222375, 5.00, 0.10, 1735, 979 , 1.93  , 8.75  , 18.54  , 0.31  
20, 222375, 7.00, 0.20, 1026, 469 , 1.25  , 8.51  , 6.99  , 0.18  
20, 222375, 9.00, 0.10, 3372, 1556 , 3.24  , 11.13  , 18.18  , 0.64  
20, 222375, 9.00, 0.20, 991, 401 , 1.20  , 10.89  , 18.08  , 0.16  
20, 222375, 11.00, 0.20, 840, 295 , 1.04  , 15.78  , 17.95  , 0.13  
20, 222375, 13.00, 0.10, 4726, 1832 , 4.20  , 19.42  , 18.00  , 0.77  
20, 222375, 13.00, 0.30, 637, 215 , 0.88  , 19.17  , 17.85  , 0.09  
20, 222375, 15.00, 0.40, 426, 131 , 0.77  , 19.96  , 7.00  , 0.06  
20, 222375, 17.00, 0.10, 5649, 1929 , 4.73  , 22.31  , 18.06  , 1.01  
20, 222375, 17.00, 0.40, 242, 74 , 0.66  , 22.33  , 17.86  , 0.03  
20, 222375, 19.00, 0.50, 141, 33 , 0.60  , 22.04  , 17.77  , 0.02  
20, 222375, 21.00, 0.20, 5945, 1827 , 4.90  , 21.80  , 17.92  , 0.98  
20, 222375, 21.00, 0.60, 82, 21 , 0.58  , 21.79  , 17.70  , 0.01  
20, 222375, 23.00, 0.70, 7, 7 , 0.53  , 21.28  , 17.64  , 0.00  
20, 222375, 25.00, 0.20, 6180, 1757 , 5.13  , 23.28  , 17.85  , 1.03  
20, 222375, 25.00, 0.90, 6, 3 , 0.53  , 23.26  , 17.62  , 0.00  
20, 222375, 27.00, 1.10, 1, 1 , 0.53  , 26.74  , 17.59  , 0.00  
20, 222375, 29.00, 0.20, 5971, 1602 , 5.17  , 29.37  , 17.81  , 0.89  
20, 222375, 29.00, 1.30, 0, 0 , 0.53  , 29.30  , 17.55  , 0.00  
20, 222375, 31.00, 1.50, 0, 0 , 0.53  , 31.32  , 7.02  , 0.00  
20, 222375, 33.00, 0.20, 5531, 1384 , 4.90  , 31.74  , 17.76  , 0.85  
20, 222375, 37.00, 0.20, 4956, 1157 , 4.55  , 26.48  , 17.69  , 0.75  
20, 222375, 41.00, 0.30, 4570, 1011 , 4.24  , 23.07  , 17.65  , 0.68  
20, 222375, 45.00, 0.30, 3884, 846 , 3.73  , 29.17  , 17.61  , 0.55  
20, 222375, 49.00, 0.30, 3404, 715 , 3.38  , 33.35  , 17.59  , 0.49  
20, 222375, 53.00, 0.30, 2962, 570 , 2.92  , 32.83  , 17.57  , 0.42  
20, 222375, 57.00, 0.40, 2541, 490 , 2.51  , 33.28  , 17.56  , 0.35  
20, 222375, 61.00, 0.40, 1966, 354 , 1.92  , 32.75  , 17.56  , 0.28  
21, 215625, 3.00, 0.10, 2107, 1609 , 2.15  , 6.31  , 6.80  , 0.46  
21, 215625, 5.00, 0.10, 3099, 1990 , 2.97  , 8.03  , 17.97  , 0.66  
21, 215625, 5.00, 0.10, 5681, 3794 , 4.63  , 8.57  , 18.11  , 1.42  
21, 215625, 7.00, 0.20, 3301, 1816 , 3.19  , 8.29  , 6.80  , 0.70  
21, 215625, 9.00, 0.10, 10801, 5656 , 7.65  , 10.90  , 17.81  , 2.38  
21, 215625, 9.00, 0.20, 3138, 1528 , 3.14  , 10.60  , 17.59  , 0.55  
21, 215625, 11.00, 0.20, 2920, 1206 , 2.93  , 15.49  , 17.44  , 0.49  
21, 215625, 13.00, 0.10, 14936, 6606 , 9.98  , 19.03  , 17.62  , 3.30  
21, 215625, 13.00, 0.30, 2494, 961 , 2.66  , 18.70  , 17.33  , 0.41  
21, 215625, 15.00, 0.40, 2094, 730 , 2.30  , 19.59  , 6.77  , 0.33  
21, 215625, 17.00, 0.10, 16964, 6567 , 11.19  , 21.90  , 17.66  , 3.85  
21, 215625, 17.00, 0.40, 1625, 539 , 1.79  , 21.81  , 17.33  , 0.26  
21, 215625, 19.00, 0.50, 1133, 383 , 1.31  , 21.59  , 17.24  , 0.17  
21, 215625, 21.00, 0.20, 17768, 6225 , 11.75  , 21.45  , 17.50  , 3.78  
21, 215625, 21.00, 0.60, 734, 222 , 0.94  , 21.34  , 17.16  , 0.11  
21, 215625, 23.00, 0.70, 432, 125 , 0.75  , 20.89  , 17.11  , 0.06  
21, 215625, 25.00, 0.20, 18561, 5968 , 12.21  , 22.81  , 17.43  , 3.91  
21, 215625, 25.00, 0.90, 177, 49 , 0.60  , 22.71  , 17.07  , 0.02  
21, 215625, 27.00, 1.10, 114, 25 , 0.56  , 26.13  , 17.04  , 0.01  
21, 215625, 29.00, 0.20, 18564, 5506 , 12.21  , 28.77  , 17.39  , 3.75  
21, 215625, 29.00, 1.30, 106, 21 , 0.55  , 28.63  , 17.02  , 0.01  
21, 215625, 31.00, 1.50, 41, 15 , 0.54  , 30.60  , 6.81  , 0.01  
21, 215625, 33.00, 0.20, 17800, 4852 , 11.82  , 31.00  , 17.32  , 3.48  
21, 215625, 37.00, 0.20, 16629, 4228 , 10.96  , 25.94  , 17.22  , 3.26  
21, 215625, 41.00, 0.30, 16115, 3800 , 10.67  , 22.57  , 17.18  , 2.61  
21, 215625, 45.00, 0.30, 14473, 3255 , 9.89  , 28.51  , 17.13  , 2.37  
21, 215625, 49.00, 0.30, 13499, 2879 , 9.33  , 32.52  , 17.10  , 2.26  
21, 215625, 53.00, 0.30, 12088, 2438 , 8.55  , 32.07  , 17.08  , 1.92  
21, 215625, 57.00, 0.40, 11080, 2163 , 7.98  , 32.46  , 17.07  , 1.73  
21, 215625, 61.00, 0.40, 9632, 1844 , 7.18  , 31.97  , 17.04  , 1.42  
22, 215625, 3.00, 0.10, 2580, 1946 , 2.56  , 6.27  , 6.81  , 0.56  
22, 215625, 5.00, 0.10, 3655, 2352 , 3.37  , 8.04  , 17.94  , 0.83  
22, 215625, 5.00, 0.10, 6635, 4285 , 5.12  , 8.59  , 18.09  , 1.71  
22, 215625, 7.00, 0.20, 3921, 2146 , 3.64  , 8.30  , 6.80  , 0.79  
22, 215625, 9.00, 0.10, 11762, 6010 , 8.25  , 10.91  , 17.77  , 2.71  
22, 215625, 9.00, 0.20, 3703, 1734 , 3.52  , 10.60  , 17.57  , 0.67  
22, 215625, 11.00, 0.20, 3388, 1425 , 3.31  , 15.45  , 17.41  , 0.59  
22, 215625, 13.00, 0.10, 15844, 6762 , 10.56  , 18.98  , 17.58  , 3.76  
22, 215625, 13.00, 0.30, 2888, 1074 , 2.93  , 18.70  , 17.30  , 0.50  
22, 215625, 15.00, 0.40, 2336, 797 , 2.46  , 19.47  , 6.77  , 0.34  
22, 215625, 17.00, 0.10, 17858, 6692 , 11.78  , 21.81  , 17.63  , 3.62  
22, 215625, 17.00, 0.40, 1870, 579 , 1.98  , 21.72  , 17.31  , 0.27  
22, 215625, 19.00, 0.50, 1270, 365 , 1.38  , 21.47  , 17.22  , 0.18  
22, 215625, 21.00, 0.20, 18982, 6320 , 12.37  , 21.34  , 17.49  , 3.85  
22, 215625, 21.00, 0.60, 815, 237 , 1.03  , 21.23  , 17.14  , 0.12  
22, 215625, 23.00, 0.70, 581, 141 , 0.84  , 20.75  , 17.09  , 0.08  
22, 215625, 25.00, 0.20, 19889, 6033 , 12.87  , 22.74  , 17.42  , 3.80  
22, 215625, 25.00, 0.90, 383, 71 , 0.73  , 22.64  , 17.06  , 0.05  
22, 215625, 27.00, 1.10, 209, 35 , 0.62  , 26.04  , 17.03  , 0.03  
22, 215625, 29.00, 0.20, 20185, 5641 , 13.08  , 28.65  , 17.38  , 3.83  
22, 215625, 29.00, 1.30, 111, 15 , 0.56  , 28.52  , 17.02  , 0.01  
22, 215625, 31.00, 1.50, 101, 9 , 0.55  , 30.48  , 6.81  , 0.01  
22, 215625, 33.00, 0.20, 19419, 5023 , 12.81  , 30.92  , 17.31  , 3.71  
22, 215625, 37.00, 0.20, 17989, 4408 , 12.08  , 25.83  , 17.21  , 3.12  
22, 215625, 41.00, 0.30, 17481, 4044 , 11.79  , 22.50  , 17.15  , 3.04  
22, 215625, 45.00, 0.30, 15993, 3485 , 10.91  , 28.41  , 17.13  , 2.68  
22, 215625, 49.00, 0.30, 15247, 3176 , 10.39  , 32.47  , 17.12  , 2.50  
22, 215625, 53.00, 0.30, 13819, 2746 , 9.57  , 31.95  , 17.08  , 2.29  
22, 215625, 57.00, 0.40, 12948, 2445 , 8.97  , 32.39  , 17.06  , 2.01  
22, 215625, 61.00, 0.40, 11317, 2093 , 8.01  , 31.87  , 17.05  , 1.76  
23, 229875, 3.00, 0.10, 994, 660 , 1.21  , 6.71  , 7.23  , 0.18  
23, 229875, 5.00, 0.10, 1280, 697 , 1.52  , 8.53  , 19.01  , 0.24  
23, 229875, 5.00, 0.10, 2526, 1426 , 2.54  , 9.07  , 19.13  , 0.50  
23, 229875, 7.00, 0.20, 1301, 596 , 1.49  , 8.81  , 7.21  , 0.21  
23, 229875, 9.00, 0.10, 4653, 2059 , 4.04  , 11.52  , 18.76  , 0.84  
23, 229875, 9.00, 0.20, 1153, 479 , 1.47  , 11.28  , 18.62  , 0.18  
23, 229875, 11.00, 0.20, 953, 349 , 1.21  , 16.37  , 18.53  , 0.14  
23, 229875, 13.00, 0.10, 6521, 2390 , 5.20  , 20.01  , 18.62  , 1.10  
23, 229875, 13.00, 0.30, 715, 260 , 0.99  , 19.85  , 18.43  , 0.10  
23, 229875, 15.00, 0.40, 438, 153 , 0.81  , 20.51  , 7.21  , 0.07  
23, 229875, 17.00, 0.10, 7403, 2384 , 5.69  , 22.96  , 18.66  , 1.29  
23, 229875, 17.00, 0.40, 301, 84 , 0.72  , 22.94  , 18.39  , 0.04  
23, 229875, 19.00, 0.50, 186, 48 , 0.65  , 22.65  , 18.33  , 0.03  
23, 229875, 21.00, 0.20, 7695, 2187 , 5.86  , 22.38  , 18.53  , 1.29  
23, 229875, 21.00, 0.60, 82, 17 , 0.58  , 22.37  , 18.27  , 0.01  
23, 229875, 23.00, 0.70, 31, 3 , 0.56  , 21.85  , 18.22  , 0.01  
23, 229875, 25.00, 0.20, 7943, 2106 , 5.98  , 23.94  , 18.46  , 1.31  
23, 229875, 25.00, 0.90, 25, 1 , 0.55  , 23.94  , 18.18  , 0.00  
23, 229875, 27.00, 1.10, 0, 0 , 0.54  , 27.52  , 18.16  , 0.00  
23, 229875, 29.00, 0.20, 7832, 1922 , 5.93  , 30.23  , 18.41  , 1.30  
23, 229875, 29.00, 1.30, 0, 0 , 0.54  , 30.14  , 18.13  , 0.00  
23, 229875, 31.00, 1.50, 0, 0 , 0.54  , 32.23  , 7.26  , 0.00  
23, 229875, 33.00, 0.20, 7363, 1651 , 5.55  , 32.72  , 18.34  , 1.08  
23, 229875, 37.00, 0.20, 6674, 1334 , 5.06  , 27.23  , 18.27  , 0.96  
23, 229875, 41.00, 0.30, 6177, 1187 , 4.73  , 23.74  , 18.23  , 0.89  
23, 229875, 45.00, 0.30, 5027, 955 , 4.12  , 29.99  , 18.19  , 0.73  
23, 229875, 49.00, 0.30, 4234, 807 , 3.72  , 34.38  , 18.16  , 0.67  
23, 229875, 53.00, 0.30, 3377, 625 , 3.10  , 33.77  , 18.16  , 0.48  
23, 229875, 57.00, 0.40, 2862, 510 , 2.69  , 34.30  , 18.13  , 0.40  
23, 229875, 61.00, 0.40, 2279, 390 , 2.13  , 33.68  , 18.12  , 0.32  
24, 215625, 3.00, 0.10, 2941, 2085 , 2.67  , 6.28  , 6.82  , 0.60  
24, 215625, 5.00, 0.10, 3656, 2093 , 3.30  , 8.04  , 17.73  , 0.72  
